id,name,networth,country,source,rank,age,citizenship,status,children,self_made,degree,university,longitude,latitude
2377,Aras Agalarov,1.2,Russia,real estate,2378,65,Russia,Married,2,True,Bachelor of Arts/Science, Baku Polytechnical Instit,37.6174943,55.7504461
2378,Syed Mokhtar AlBukhary,1.2,Malaysia,"engineering, energy, construction",2378,69,Malaysia,Married,5,True,Drop Out, High School,101.6942371,3.1516964
2380,Thomas Bailey,1.2,United States,money management,2378,84,United States,Divorced,2,True,Bachelor of Arts/Science," Michigan State University; Master of Business Administration, University of Western Ontario",-106.8235606,39.1911128
2382,Sachin Bansal,1.2,India,flipkart,2378,39,India,Married,1,True,Bachelor of Science in Engineering, Indian Institute of Technology,77.59129969999999,12.9791198
2387,Chen Tianqiao,1.2,China,online games,2378,47,China,Married,2,True,Bachelor of Arts/Science, Fudan University,-122.2058272,37.453773
2388,Henry Cheng,1.2,Hong Kong,diversified,2378,74,Hong Kong,Married,4,False,Bachelor of Arts/Science," The University of Western Ontario - Richard Ivey School of Business; Master of Business Administration, The University of Western Ontario - Richard Ivey School of Business",114.1628131,22.2793278
2392,Ronald Clarke,1.2,United States,payments technology,2378,65,United States,Married,2,True,Bachelor of Arts/Science," Colby College; Master of Business Administration, Cornell University",-84.14410460000001,34.0028569
2400,Wesley Edens,1.2,United States,investments,2378,59,United States,Married,4,True,Bachelor of Arts/Science, Oregon State University,-74.00601519999999,40.7127281
2405,Gleb Fetisov,1.2,Russia,investments,2378,54,Russia,Married,3,True,Doctorate, Moscow State University,37.6174943,55.7504461
2407,J. Christopher Flowers,1.2,United States,investments,2378,63,United States,Married,2,True,Bachelor of Arts/Science, Harvard University,-74.00601519999999,40.7127281
2408,Dan Gertler,1.2,Israel,mining,2378,47,Israel,Married,11,False,Diploma, High School,34.8324376,32.0873899
2409,Premchand Godha,1.2,India,pharmaceuticals,2378,74,India,Married,2,True,Chartered Accountant," Institute of Chartered Accountants of India; Bachelor of Commerce, University of Rajasthan",72.8773928,19.0759899
2412,Ryan Graves,1.2,United States,uber,2378,37,United States,Married,4,True,Bachelor of Arts/Science, Miami University of Ohio,-159.5587678,22.0504666
2417,Hong Seok-joh,1.2,South Korea,convenience stores,2378,68,South Korea,Married,1,False,Master of Laws," Harvard University; Law Degree, Seoul National University",126.9782914,37.5666791
2424,Eugene Kaspersky,1.2,Russia,software,2378,55,Russia,Divorced,4,True,Bachelor of Arts/Science," Institute of Cryptography, Telecommunications and Computer Science (FSB Academy)",37.6174943,55.7504461
2426,Kim Jung-woong,1.2,South Korea,cosmetics,2378,46,South Korea,Married,1,True,Associate in Arts/Science, Daelim University,126.9782914,37.5666791
2431,Andrei Komarov,1.2,Russia,manufacturing,2378,54,Russia,Married,6,True,Bachelor of Arts/Science, Moscow Institute of Chemical Engineering,37.6174943,55.7504461
2432,Koo Bon-joon,1.2,South Korea,"electronics, household products",2378,69,South Korea,Married,2,False,Bachelor of Arts/Science," Seoul National University; Master of Business Administration, University of Chicago",126.9782914,37.5666791
2433,Koo Bon-neung,1.2,South Korea,electronics,2378,72,South Korea,Married,2,False,Bachelor of Arts/Science, Korea University,126.9782914,37.5666791
2434,Koo Bon-sik,1.2,South Korea,LG,2378,62,South Korea,Married,3,False,Master, University of Michigan,126.9782914,37.5666791
2436,Joe Lacob,1.2,United States,Golden State Warriors,2378,65,United States,Married,4,True,Master of Business Administration," Stanford University; Masters of Public Health, UCLA; Bachelor of Arts/Science, University of California, Irvine",-122.2058272,37.453773
2438,Lee Jay-hyun,1.2,South Korea,"food products, entertainment",2378,61,South Korea,Married,2,False,Bachelor of Arts/Science, Korea University,126.9782914,37.5666791
2442,Liu Gexin & family,1.2,China,pharmaceuticals,2378,69,China,Married,1,True,Medical Doctor, Chongqing Universtiy,104.0633717,30.6598628
2446,Frederic Luddy,1.2,United States,software,2378,66,United States,Single,1,True,Drop Out, Indiana University,-117.1627728,32.7174202
2449,Bill Malhotra,1.2,Canada,real estate,2378,71,Canada,Married,2,True,Bachelor of Engineering, Birla Institute of Technology and Science (BITS) - Pilani,-75.690308,45.421106
2450,Jorge Mas,1.2,United States,Construction,2378,58,United States,Married,3,False,Master of Business Administration, University of Miami,-80.19362,25.7741728
2451,Muneaki Masuda,1.2,Japan,retail,2378,70,Japan,Married,2,True,Bachelor of Arts/Science, Doshisha University,135.490357,34.6198813
2452,Andrei Molchanov,1.2,Russia,construction materials,2378,49,Russia,Married,6,True,Masters of Public Administration," Russian State Academy of Management; Bachelor of Arts/Science, St Petersburg State University",37.6174943,55.7504461
2460,Roberto Ongpin,1.2,Philippines,diversified,2378,84,Philippines,Married,4,True,Master of Business Administration, Harvard University,120.9809674,14.5907332
2461,Eren Ozmen,1.2,United States,aerospace,2378,62,United States,Married,2,True,Master of Business Administration, University of Nevada at Reno,-119.8126581,39.5261206
2463,Chamath Palihapitiya,1.2,United States,★,2378,44,United States,In Relationship,3,True,Bachelor of Engineering, University of Waterloo,-122.2058272,37.453773
2465,G.V. Prasad,1.2,India,pharmaceuticals,2378,60,India,Married,3,False,Bachelor of Science in Engineering," Illinois Institute of Technology; Master, Purdue University",78.4740613,17.360589
2466,Michael Price,1.2,United States,investments,2378,68,United States,Married,4,False,Bachelor of Arts/Science, University of Oklahoma,-74.6357148,40.684268
2470,Andrei Rappoport,1.2,Russia,investments,2378,57,Russia,Married,2,True,Bachelor of Arts/Science, Donetsk National University,37.6174943,55.7504461
2474,Boris Rotenberg,1.2,Russia,"construction, pipes, chemicals",2378,64,Russia,Married,5,True,Bachelor of Arts/Science, Leningrad Institute of Physical Culture,37.6174943,55.7504461
2475,Chris Sacca,1.2,United States,venture capital investing,2378,45,United States,Married,2,True,Bachelor of Arts/Science," Georgetown University; Doctor of Jurisprudence, Georgetown University",-120.1832533,39.327962
2476,Alexander Samwer,1.2,Germany,tech investments,2378,46,Germany,Married,1,True,Master of Business Administration," Harvard Business School; Master of Arts, Oxford University",11.5753822,48.1371079
2477,Marc Samwer,1.2,Germany,tech investments,2378,50,Germany,Married,2,True,LLM, University of Cologne,11.5753822,48.1371079
2479,James Scapa,1.2,United States,software,2378,64,United States,Married,4,True,Bachelor of Arts/Science," Columbia University; Master of Business Administration, University of Michigan",-122.2058272,37.453773
2480,Albert Shigaboutdinov,1.2,Russia,"refinery, chemicals",2378,68,Russia,Married,2,True,Bachelor of Arts/Science, Kazan State Technical University,49.1242266,55.7823547
2485,Nik Storonsky,1.2,United Kingdom,fintech,2378,36,United Kingdom,Married,2,True,Master of Science, Moscow Institute of Physics and Technology,-0.1276474,51.5073219
2486,Sergei Sudarikov,1.2,Russia,"finance, development",2378,49,Russia,Married,3,True,Master of Science, Moscow State University,37.6174943,55.7504461
2488,Rustem Sulteev,1.2,Russia,"refinery, chemicals",2378,67,Russia,Married,2,True,Bachelor of Arts/Science, Kazan Institute of Civil Engineering,49.1242266,55.7823547
2490,Nutchamai Thanombooncharoen,1.2,Thailand,energy drinks,2378,59,Thailand,Married,2,True,Bachelor of Arts/Economics," Silpakorn University; Master of Arts, Thammasat University",100.4930399,13.7544238
2493,Robert Toll,1.2,United States,home building,2378,80,United States,Married,5,True,Bachelor of Arts/Science," Cornell University; LLB, University of Pennsylvania",-80.13530059999999,25.7929198
2503,Allan Wong,1.2,Hong Kong,electronics,2378,71,Hong Kong,Widowed,2,True,Bachelor of Science in Engineering," University of Hong Kong; Master of Science, University of Wisconsin",114.1628131,22.2793278
